CPU 1 is empty
cpus=2
           <...>-33790 [000] 20143.614195: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [000] 20143.615095: funcgraph_entry:                   |  __fdget() {
            bash-16796 [000] 20143.615096: funcgraph_entry:        2.286 us   |    __fget_light();
            bash-16796 [000] 20143.615099: funcgraph_exit:         3.292 us   |  }
            bash-16796 [000] 20143.615100: funcgraph_entry:                   |  tty_poll() {
            bash-16796 [000] 20143.615101: funcgraph_entry:        0.669 us   |    tty_paranoia_check();
            bash-16796 [000] 20143.615102: funcgraph_entry:                   |    tty_ldisc_ref_wait() {
            bash-16796 [000] 20143.615102: funcgraph_entry:                   |      ldsem_down_read() {
            bash-16796 [000] 20143.615103: funcgraph_entry:                   |        _cond_resched() {
            bash-16796 [000] 20143.615103: funcgraph_entry:        0.496 us   |          rcu_all_qs();
            bash-16796 [000] 20143.615106: funcgraph_exit:         1.466 us   |        }
            bash-16796 [000] 20143.615106: funcgraph_exit:         3.973 us   |      }
            bash-16796 [000] 20143.615107: funcgraph_exit:         5.084 us   |    }
            bash-16796 [000] 20143.615108: funcgraph_entry:                   |    n_tty_poll() {
            bash-16796 [000] 20143.615109: funcgraph_entry:        0.536 us   |      tty_hung_up_p();
            bash-16796 [000] 20143.615110: funcgraph_entry:                   |      tty_chars_in_buffer() {
            bash-16796 [000] 20143.615111: funcgraph_entry:        0.580 us   |        pty_chars_in_buffer();
            bash-16796 [000] 20143.615112: funcgraph_exit:         1.925 us   |      }
            bash-16796 [000] 20143.615113: funcgraph_entry:                   |      tty_write_room() {
            bash-16796 [000] 20143.615114: funcgraph_entry:                   |        pty_write_room() {
            bash-16796 [000] 20143.615114: funcgraph_entry:        1.268 us   |          tty_buffer_space_avail();
            bash-16796 [000] 20143.615116: funcgraph_exit:         2.450 us   |        }
            bash-16796 [000] 20143.615117: funcgraph_exit:         3.752 us   |      }
            bash-16796 [000] 20143.615117: funcgraph_exit:         9.236 us   |    }
            bash-16796 [000] 20143.615118: funcgraph_entry:                   |    tty_ldisc_deref() {
            bash-16796 [000] 20143.615118: funcgraph_entry:        0.514 us   |      ldsem_up_read();
            bash-16796 [000] 20143.615119: funcgraph_exit:         1.527 us   |    }
            bash-16796 [000] 20143.615120: funcgraph_exit:       + 20.118 us  |  }
