CPU 0 is empty
cpus=2
            main-27967 [001] 14428.023836: funcgraph_entry:        0.204 us   |                  _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023836: funcgraph_entry:                   |                  tty_flip_buffer_push() {
            main-27967 [001] 14428.023836: funcgraph_entry:        0.213 us   |                    queue_work_on();
            main-27967 [001] 14428.023837: funcgraph_exit:         0.578 us   |                  }
            main-27967 [001] 14428.023837: funcgraph_exit:         2.988 us   |                }
            main-27967 [001] 14428.023837: funcgraph_exit:         3.409 us   |              }
            main-27967 [001] 14428.023838: funcgraph_entry:        0.224 us   |              mutex_unlock();
            main-27967 [001] 14428.023838: funcgraph_entry:                   |              remove_wait_queue() {
            main-27967 [001] 14428.023838: funcgraph_entry:        0.180 us   |                _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023839: funcgraph_entry:        0.204 us   |                _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023839: funcgraph_exit:         0.953 us   |              }
            main-27967 [001] 14428.023839: funcgraph_entry:        0.279 us   |              up_read();
            main-27967 [001] 14428.023840: funcgraph_exit:       + 22.243 us  |            }
            main-27967 [001] 14428.023840: funcgraph_entry:        0.196 us   |            ktime_get_real_seconds();
            main-27967 [001] 14428.023840: funcgraph_entry:                   |            tty_write_unlock() {
            main-27967 [001] 14428.023841: funcgraph_entry:        0.196 us   |              mutex_unlock();
            main-27967 [001] 14428.023841: funcgraph_entry:                   |              __wake_up() {
            main-27967 [001] 14428.023841: funcgraph_entry:                   |                __wake_up_common_lock() {
            main-27967 [001] 14428.023841: funcgraph_entry:        0.187 us   |                  _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023842: funcgraph_entry:        0.192 us   |                  __wake_up_common();
            main-27967 [001] 14428.023842: funcgraph_entry:        0.200 us   |                  _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023842: funcgraph_exit:         1.318 us   |                }
            main-27967 [001] 14428.023843: funcgraph_exit:         1.693 us   |              }
            main-27967 [001] 14428.023843: funcgraph_exit:         2.444 us   |            }
            main-27967 [001] 14428.023843: funcgraph_entry:                   |            tty_ldisc_deref() {
            main-27967 [001] 14428.023843: funcgraph_entry:        0.198 us   |              ldsem_up_read();
            main-27967 [001] 14428.023844: funcgraph_exit:         0.590 us   |            }
            main-27967 [001] 14428.023844: funcgraph_exit:       + 32.609 us  |          }
            main-27967 [001] 14428.023844: funcgraph_exit:       + 33.162 us  |        }
            main-27967 [001] 14428.023844: funcgraph_entry:        0.186 us   |        __fsnotify_parent();
            main-27967 [001] 14428.023845: funcgraph_entry:        0.313 us   |        fsnotify();
            main-27967 [001] 14428.023845: funcgraph_exit:       + 37.945 us  |      }
            main-27967 [001] 14428.023846: funcgraph_exit:       + 39.994 us  |    }
            main-27967 [001] 14428.023846: funcgraph_exit:       + 40.794 us  |  }
            main-27967 [001] 14428.023847: funcgraph_entry:                   |  do_syscall_64() {
            main-27967 [001] 14428.023847: funcgraph_entry:                   |    sys_rt_sigreturn() {
            main-27967 [001] 14428.023847: funcgraph_entry:                   |      set_current_blocked() {
            main-27967 [001] 14428.023847: funcgraph_entry:                   |        __set_current_blocked() {
            main-27967 [001] 14428.023848: funcgraph_entry:        0.180 us   |          _raw_spin_lock_irq();
            main-27967 [001] 14428.023848: funcgraph_entry:                   |          __set_task_blocked() {
            main-27967 [001] 14428.023848: funcgraph_entry:                   |            recalc_sigpending() {
            main-27967 [001] 14428.023848: funcgraph_entry:        0.186 us   |              recalc_sigpending_tsk();
            main-27967 [001] 14428.023849: funcgraph_exit:         0.557 us   |            }
            main-27967 [001] 14428.023849: funcgraph_exit:         0.920 us   |          }
            main-27967 [001] 14428.023849: funcgraph_exit:         1.639 us   |        }
            main-27967 [001] 14428.023849: funcgraph_exit:         2.007 us   |      }
            main-27967 [001] 14428.023850: funcgraph_entry:                   |      restore_sigcontext() {
            main-27967 [001] 14428.023850: funcgraph_entry:                   |        fpu__restore_sig() {
            main-27967 [001] 14428.023850: funcgraph_entry:                   |          __fpu__restore_sig() {
            main-27967 [001] 14428.023850: funcgraph_entry:        0.205 us   |            fpu__initialize();
            main-27967 [001] 14428.023851: funcgraph_exit:         0.867 us   |          }
            main-27967 [001] 14428.023851: funcgraph_exit:         1.313 us   |        }
