CPU 0 is empty
cpus=2
  kworker/u256:0-26003 [001] 15406.201814: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [001] 15406.201999: funcgraph_entry:                   |              mutex_lock_interruptible() {
            bash-16796 [001] 15406.201999: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.201999: funcgraph_entry:        0.136 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.201999: funcgraph_exit:         0.410 us   |                }
            bash-16796 [001] 15406.201999: funcgraph_exit:         0.685 us   |              }
            bash-16796 [001] 15406.201999: funcgraph_entry:                   |              down_read() {
            bash-16796 [001] 15406.201999: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.202000: funcgraph_entry:        0.137 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.202000: funcgraph_exit:         0.410 us   |                }
            bash-16796 [001] 15406.202000: funcgraph_exit:         0.687 us   |              }
            bash-16796 [001] 15406.202000: funcgraph_entry:                   |              add_wait_queue() {
            bash-16796 [001] 15406.202000: funcgraph_entry:        0.163 us   |                _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.202001: funcgraph_entry:        0.145 us   |                _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.202001: funcgraph_exit:         0.727 us   |              }
            bash-16796 [001] 15406.202001: funcgraph_entry:                   |              copy_from_read_buf() {
            bash-16796 [001] 15406.202001: funcgraph_entry:                   |                __check_object_size() {
            bash-16796 [001] 15406.202001: funcgraph_entry:        0.147 us   |                  check_stack_object();
            bash-16796 [001] 15406.202002: funcgraph_entry:        0.140 us   |                  __virt_addr_valid();
            bash-16796 [001] 15406.202002: funcgraph_exit:         0.720 us   |                }
            bash-16796 [001] 15406.202002: funcgraph_entry:        0.140 us   |                tty_audit_add_data();
            bash-16796 [001] 15406.202002: funcgraph_exit:         1.348 us   |              }
            bash-16796 [001] 15406.202003: funcgraph_entry:        0.154 us   |              copy_from_read_buf();
            bash-16796 [001] 15406.202003: funcgraph_entry:        0.139 us   |              n_tty_kick_worker();
            bash-16796 [001] 15406.202003: funcgraph_entry:                   |              tty_wakeup() {
            bash-16796 [001] 15406.202003: funcgraph_entry:                   |                __wake_up() {
            bash-16796 [001] 15406.202003: funcgraph_entry:                   |                  __wake_up_common_lock() {
            bash-16796 [001] 15406.202004: funcgraph_entry:        0.141 us   |                    _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.202004: funcgraph_entry:                   |                    __wake_up_common() {
